center_count,sigma,lambda,cv_mse,train_mse,test_mse
12.0,0.2,0.01,0.47796834067736194,0.33359377000875895,0.33830570154320566
12.0,0.3,0.01,0.47855526594964604,0.3112286755611597,0.30930103484973615
8.0,0.3,0.01,0.48021051516848157,0.3474934225179529,0.43726612067698
12.0,0.5,0.1,0.48563711984636804,0.32543910706668444,0.3225217642181147
8.0,0.3,0.0001,0.4870710725711048,0.34749147041788736,0.437414096271935
8.0,0.3,1e-06,0.48714444862892325,0.34749147022126403,0.4374155944358609
12.0,0.3,0.0001,0.4877022772227626,0.3112260774263756,0.3094797448417808
12.0,0.3,1e-06,0.48780705510922545,0.31122607715389444,0.3094816677571517
15.0,0.2,0.01,0.491279745855285,0.2706693285714159,0.3828756410477708
12.0,0.1,0.1,0.49367227275063136,0.4096516558424175,0.48058763630709966
12.0,0.5,0.01,0.49817291281253623,0.3248878696934331,0.3218102794538723
8.0,0.5,1.0,0.49827933321886586,0.3980081725746433,0.4304175527502387
12.0,0.2,0.0001,0.5061442462078587,0.3335901796778098,0.33837602700545966
12.0,0.2,1e-06,0.5066466805347023,0.33359017931635243,0.3383767711927144
10.0,0.3,1.0,0.513795933708986,0.44395219328434166,0.4033310047500281
12.0,0.8,1.0,0.5212237104673042,0.40371193589905296,0.39990433512776086
15.0,0.8,1.0,0.5219490139203418,0.39868177744915884,0.3963586618589381
20.0,0.8,1.0,0.5224333121817055,0.39132425904975343,0.38975344247646615
25.0,0.8,1.0,0.523794817776351,0.38640115782512696,0.38524447894187275
30.0,0.8,1.0,0.5254189151700537,0.38283020640898774,0.3819290555312036
15.0,0.8,0.1,0.5284929070794633,0.3504835421288934,0.3525113619490854
30.0,0.8,0.1,0.5285060900499243,0.34045936742285954,0.3463734098379812
25.0,0.5,0.0001,0.5292430749037177,0.1623418075917559,0.2608815611138659
25.0,0.8,0.1,0.5292785059308538,0.34369474453128335,0.348434373219789
20.0,0.8,0.1,0.5295265266788611,0.3471125781911252,0.3505344618445527
10.0,0.8,1.0,0.5298689817247132,0.4167616961053114,0.40578697821683624
30.0,0.5,0.0001,0.5313692502081528,0.16158904768104018,0.26102977970381874
20.0,0.1,1.0,0.5316064823397,0.43996971452821393,0.42492851297068523
10.0,0.2,1.0,0.5316683631557116,0.47831161753974977,0.4376389736838318
12.0,0.1,1.0,0.5318661132196242,0.45063930567495253,0.4919421235097683
